Temperature,Humidity,Moisture,Soil_Type,Crop_Type,Nitrogen,Phosphorus,Potassium,Fertilizer
32,74,66,Black,Wheat,57,14,30,DAP
29,31,57,Loamy,Pulses,33,72,24,14-35-14
38,77,32,Loamy,Cotton,31,42,60,20-20
19,51,37,Sandy,Maize,47,33,18,MOP
21,84,77,Red,Cotton,21,56,30,14-35-14
28,41,47,Red,Maize,25,72,35,14-35-14
18,83,44,Sandy,Wheat,26,57,38,14-35-14
39,70,38,Black,Wheat,23,36,64,10-26-26
31,82,20,Red,Sugarcane,45,35,53,20-20
30,59,39,Red,Wheat,42,47,42,20-20
21,64,68,Loamy,Cotton,30,19,38,DAP
26,59,61,Clayey,Sugarcane,41,28,41,28-28
34,75,25,Sandy,Wheat,30,55,25,14-35-14
36,74,67,Loamy,Sugarcane,34,35,71,10-26-26
30,68,46,Clayey,Pulses,45,33,20,MOP
37,73,71,Loamy,Pulses,50,30,38,20-20
29,64,76,Loamy,Paddy,32,13,48,DAP
30,52,83,Red,Paddy,52,14,44,DAP
36,52,77,Clayey,Pulses,20,32,58,10-26-26
35,66,40,Loamy,Maize,21,37,23,Urea
27,69,46,Loamy,Paddy,36,62,21,14-35-14
24,77,52,Red,Cotton,44,27,28,28-28
38,66,59,Clayey,Wheat,32,28,33,28-28
20,53,67,Loamy,Maize,25,34,29,Urea
26,39,48,Red,Maize,21,60,40,14-35-14
29,74,29,Clayey,Paddy,17,32,38,Urea
27,42,78,Loamy,Cotton,30,64,25,14-35-14
35,59,58,Loamy,Cotton,53,18,40,DAP
31,84,58,Loamy,Pulses,34,33,11,MOP
32,62,30,Clayey,Sugarcane,11,25,25,Urea
21,35,71,Black,Sugarcane,42,20,38,DAP
39,62,58,Sandy,Cotton,51,45,36,20-20
35,50,54,Sandy,Pulses,30,16,49,DAP
28,85,84,Red,Wheat,24,29,34,Urea
37,68,67,Loamy,Pulses,10,38,24,Urea
37,49,65,Sandy,Wheat,40,54,57,20-20
18,43,49,Black,Sugarcane,30,32,16,MOP
28,60,24,Black,Wheat,43,51,44,20-20
18,63,57,Sandy,Maize,34,66,24,14-35-14
32,84,30,Loamy,Cotton,53,13,49,DAP
29,30,33,Sandy,Paddy,20,27,34,Urea
31,49,21,Black,Wheat,50,41,15,MOP
33,66,36,Black,Wheat,17,21,32,Urea
39,43,55,Clayey,Paddy,38,15,42,DAP
40,56,34,Loamy,Wheat,34,35,58,20-20
28,75,49,Sandy,Maize,39,63,29,14-35-14
28,71,43,Red,Sugarcane,42,18,47,DAP
24,77,41,Loamy,Pulses,39,77,35,14-35-14
39,53,58,Clayey,Sugarcane,26,78,29,14-35-14
34,42,54,Black,Cotton,37,18,36,DAP
18,81,40,Black,Cotton,36,30,30,28-28
20,42,56,Black,Sugarcane,43,31,29,28-28
29,60,20,Sandy,Pulses,31,69,39,14-35-14
22,69,30,Loamy,Paddy,37,58,27,14-35-14
40,55,61,Clayey,Cotton,57,35,14,MOP
22,58,54,Clayey,Wheat,57,49,51,20-20
22,72,71,Loamy,Pulses,27,74,40,14-35-14
40,81,60,Clayey,Pulses,53,17,39,DAP
24,42,45,Loamy,Paddy,23,42,77,10-26-26
23,36,38,Clayey,Maize,37,35,13,MOP
18,46,24,Black,Cotton,10,20,20,Urea
23,80,76,Red,Wheat,21,34,32,Urea
22,60,43,Sandy,Wheat,45,43,44,28-28
19,42,78,Sandy,Pulses,38,35,69,10-26-26
21,50,45,Clayey,Cotton,37,39,28,28-28
34,73,27,Red,Maize,39,36,59,10-26-26
36,84,43,Sandy,Sugarcane,24,48,62,10-26-26
32,82,77,Clayey,Paddy,48,35,12,MOP
39,43,28,Clayey,Paddy,21,32,25,Urea
22,40,23,Sandy,Maize,34,36,60,10-26-26
24,81,61,Black,Wheat,34,37,36,28-28
26,66,79,Sandy,Sugarcane,36,42,35,20-20
18,33,68,Black,Sugarcane,60,18,36,DAP
35,55,32,Loamy,Pulses,20,29,36,Urea
27,73,63,Sandy,Maize,40,10,46,DAP
38,38,80,Sandy,Pulses,24,39,79,10-26-26
18,63,60,Red,Maize,39,47,12,MOP
22,81,37,Black,Cotton,31,38,54,20-20
27,70,39,Sandy,Pulses,44,15,42,DAP
19,32,36,Sandy,Paddy,55,17,36,DAP
18,39,64,Clayey,Paddy,40,79,32,14-35-14
31,47,31,Clayey,Wheat,36,39,56,10-26-26
40,59,62,Red,Pulses,28,31,60,10-26-26
32,57,73,Loamy,Cotton,41,30,20,MOP
34,68,48,Clayey,Wheat,14,22,34,Urea
24,82,71,Black,Wheat,31,45,57,20-20
31,37,65,Loamy,Sugarcane,34,34,80,10-26-26
29,69,77,Black,Maize,32,45,80,10-26-26
32,37,41,Loamy,Sugarcane,27,36,32,28-28
36,56,52,Black,Pulses,48,14,35,DAP
34,32,53,Sandy,Wheat,34,38,19,MOP
18,77,67,Black,Wheat,24,43,63,10-26-26
35,80,56,Sandy,Sugarcane,49,18,46,DAP
31,37,83,Red,Maize,53,45,37,20-20
18,39,52,Sandy,Sugarcane,20,40,21,Urea
39,85,66,Loamy,Sugarcane,28,66,40,14-35-14
37,35,59,Loamy,Pulses,33,59,39,20-20
37,55,81,Red,Maize,39,73,24,14-35-14
37,51,75,Sandy,Cotton,28,55,20,14-35-14
21,57,42,Sandy,Pulses,40,54,60,20-20
26,30,53,Clayey,Paddy,55,18,40,DAP
24,55,39,Clayey,Paddy,57,50,19,MOP
19,77,35,Red,Cotton,34,27,32,28-28
19,59,31,Sandy,Maize,31,40,70,10-26-26
20,54,33,Black,Sugarcane,28,37,29,28-28
35,62,49,Clayey,Wheat,35,39,13,MOP
31,48,26,Red,Paddy,25,47,62,10-26-26
34,35,20,Clayey,Maize,12,22,24,Urea
29,32,76,Black,Cotton,42,41,41,20-20
35,81,39,Clayey,Sugarcane,25,36,37,Urea
27,76,48,Clayey,Sugarcane,26,55,40,14-35-14
24,79,52,Black,Sugarcane,12,21,38,Urea
28,79,80,Clayey,Paddy,40,32,38,20-20
25,33,35,Black,Paddy,49,50,14,MOP
19,69,24,Clayey,Pulses,24,41,70,10-26-26
20,65,48,Red,Maize,16,26,23,Urea
21,54,55,Sandy,Maize,50,49,20,MOP
26,38,37,Clayey,Wheat,41,14,44,DAP
28,74,21,Black,Cotton,35,32,26,28-28
34,39,50,Sandy,Cotton,34,77,33,14-35-14
30,51,66,Red,Pulses,40,67,23,14-35-14
27,42,32,Black,Sugarcane,44,47,20,MOP
39,64,40,Loamy,Sugarcane,39,44,34,28-28
40,37,52,Red,Maize,34,38,51,20-20
21,30,54,Red,Sugarcane,38,37,33,28-28
20,30,21,Clayey,Cotton,29,43,33,28-28
25,74,22,Clayey,Cotton,28,74,21,14-35-14
28,77,73,Sandy,Wheat,49,34,13,MOP
31,51,52,Sandy,Sugarcane,20,33,29,Urea
31,49,42,Black,Wheat,49,43,47,20-20
24,30,67,Black,Cotton,35,33,65,10-26-26
18,34,81,Black,Cotton,36,68,20,14-35-14
20,45,40,Sandy,Sugarcane,37,41,62,10-26-26
19,64,73,Clayey,Paddy,46,16,31,DAP
34,69,32,Red,Maize,50,41,37,20-20
38,85,68,Loamy,Maize,36,19,38,DAP
24,80,61,Sandy,Cotton,26,55,25,14-35-14
22,73,75,Red,Pulses,48,59,36,20-20
19,77,80,Clayey,Sugarcane,40,33,30,28-28
33,52,67,Black,Maize,59,48,44,20-20
23,67,23,Black,Sugarcane,58,47,17,MOP
28,47,67,Black,Paddy,25,37,75,10-26-26
21,39,53,Red,Paddy,58,13,45,DAP
35,76,28,Sandy,Wheat,40,57,24,14-35-14
19,78,85,Clayey,Pulses,48,16,35,DAP
35,43,84,Red,Wheat,29,43,41,28-28
27,47,83,Loamy,Wheat,26,46,58,10-26-26
38,31,52,Loamy,Paddy,30,60,38,14-35-14
31,82,61,Sandy,Cotton,21,56,36,14-35-14
38,83,34,Black,Wheat,32,12,42,DAP
28,68,38,Sandy,Sugarcane,21,24,39,Urea
30,39,75,Loamy,Wheat,28,32,36,28-28
28,81,22,Loamy,Wheat,40,48,54,20-20
26,69,22,Loamy,Paddy,27,55,38,14-35-14
33,67,28,Clayey,Sugarcane,28,49,77,10-26-26
30,50,48,Sandy,Pulses,28,29,32,28-28
30,44,40,Sandy,Cotton,30,48,59,20-20
35,44,38,Sandy,Maize,24,22,37,Urea
27,33,69,Sandy,Wheat,39,36,16,MOP
29,31,74,Red,Sugarcane,36,79,38,14-35-14
30,83,35,Sandy,Wheat,26,35,43,28-28
30,78,79,Loamy,Sugarcane,57,34,19,MOP
36,35,79,Red,Paddy,52,57,46,20-20
29,74,34,Loamy,Cotton,37,32,57,20-20
37,55,85,Black,Sugarcane,42,19,50,DAP
28,77,52,Sandy,Sugarcane,43,10,30,DAP
24,70,47,Red,Pulses,24,34,79,10-26-26
34,83,69,Clayey,Maize,51,39,15,MOP
20,64,43,Clayey,Cotton,32,65,20,14-35-14
35,58,44,Loamy,Wheat,30,69,27,14-35-14
31,73,34,Red,Wheat,40,47,50,20-20
26,80,37,Loamy,Pulses,40,57,25,14-35-14
29,50,72,Clayey,Cotton,22,77,36,14-35-14
19,85,30,Sandy,Maize,31,27,39,28-28
30,70,46,Black,Sugarcane,18,27,36,Urea
29,61,33,Sandy,Sugarcane,31,59,51,20-20
39,51,52,Red,Cotton,12,27,22,Urea
33,59,62,Sandy,Pulses,35,37,77,10-26-26
35,70,85,Red,Cotton,41,37,45,28-28
26,51,52,Clayey,Maize,57,39,14,MOP
34,85,70,Red,Pulses,50,16,30,DAP
36,62,24,Sandy,Paddy,32,50,50,20-20
28,43,72,Black,Pulses,33,51,47,20-20
34,67,22,Red,Wheat,21,36,57,10-26-26
33,84,66,Black,Maize,35,79,22,14-35-14
23,73,33,Clayey,Pulses,28,48,78,10-26-26
30,56,77,Clayey,Pulses,47,33,33,20-20
23,50,39,Clayey,Pulses,33,68,32,14-35-14
26,70,40,Clayey,Wheat,45,60,59,20-20
33,64,72,Black,Maize,13,39,34,Urea
39,58,58,Loamy,Maize,25,66,39,14-35-14
28,34,21,Clayey,Sugarcane,33,73,23,14-35-14
18,55,40,Red,Wheat,48,31,46,20-20
34,51,64,Loamy,Paddy,52,30,18,MOP
34,78,31,Loamy,Paddy,57,43,20,MOP
26,55,59,Sandy,Wheat,56,39,51,20-20
26,68,85,Sandy,Pulses,59,40,58,20-20
20,79,55,Loamy,Wheat,40,36,72,10-26-26
36,77,83,Clayey,Paddy,33,44,34,28-28
21,81,53,Sandy,Wheat,29,49,71,10-26-26
24,58,50,Black,Sugarcane,36,11,36,DAP
24,72,68,Red,Wheat,31,36,36,28-28
28,71,57,Loamy,Sugarcane,18,30,35,Urea
28,45,52,Sandy,Maize,38,31,41,28-28
30,59,64,Loamy,Paddy,34,14,31,DAP
37,59,39,Loamy,Paddy,20,60,40,14-35-14
25,72,45,Red,Wheat,11,36,39,Urea
25,33,33,Sandy,Sugarcane,42,11,32,DAP
32,81,34,Black,Cotton,36,38,42,28-28
25,34,35,Black,Cotton,20,44,65,10-26-26
33,61,72,Loamy,Wheat,18,21,25,Urea
40,72,67,Loamy,Paddy,38,64,31,14-35-14
27,85,50,Black,Cotton,38,31,19,MOP
18,40,71,Loamy,Sugarcane,34,46,19,MOP
33,60,84,Sandy,Cotton,37,37,58,10-26-26
36,58,61,Clayey,Cotton,32,45,73,10-26-26
26,84,76,Black,Paddy,21,25,38,Urea
39,55,61,Clayey,Pulses,44,36,18,MOP
27,32,65,Sandy,Cotton,23,42,67,10-26-26
37,40,21,Sandy,Pulses,27,58,36,14-35-14
28,45,25,Sandy,Sugarcane,25,41,45,28-28
36,76,23,Loamy,Pulses,35,40,45,28-28
23,84,79,Black,Maize,40,15,40,DAP
30,50,65,Red,Paddy,50,16,38,DAP
40,43,29,Loamy,Maize,32,71,35,14-35-14
28,84,37,Clayey,Wheat,23,50,74,10-26-26
21,45,84,Clayey,Cotton,44,42,38,28-28
20,46,57,Sandy,Pulses,44,50,20,MOP
23,61,28,Red,Cotton,35,64,26,14-35-14
21,78,75,Clayey,Cotton,45,35,30,20-20
32,57,82,Clayey,Sugarcane,40,50,31,20-20
22,54,50,Clayey,Paddy,48,36,41,20-20
26,43,75,Sandy,Paddy,18,40,39,Urea
31,66,85,Red,Maize,22,43,77,10-26-26
33,67,45,Black,Cotton,46,39,12,MOP
24,45,69,Black,Wheat,39,34,69,10-26-26
23,52,24,Loamy,Pulses,34,47,17,MOP
22,69,53,Clayey,Cotton,43,19,37,DAP
24,51,68,Sandy,Pulses,36,65,27,14-35-14
26,43,46,Clayey,Maize,38,16,38,DAP
19,30,45,Loamy,Cotton,18,38,33,Urea
31,79,58,Red,Sugarcane,20,50,66,10-26-26
21,41,72,Black,Paddy,27,30,34,28-28
18,67,21,Sandy,Wheat,57,55,48,20-20
31,50,50,Black,Cotton,44,10,43,DAP
28,53,60,Clayey,Sugarcane,59,42,59,20-20
40,60,50,Loamy,Pulses,40,40,29,28-28
24,61,82,Sandy,Cotton,12,25,25,Urea
29,80,50,Clayey,Wheat,39,32,30,28-28
28,68,59,Clayey,Sugarcane,43,40,19,MOP
19,50,39,Loamy,Paddy,60,41,17,MOP
35,41,42,Black,Wheat,53,10,33,DAP
22,85,71,Black,Maize,12,29,32,Urea
40,72,66,Red,Wheat,27,58,20,14-35-14
18,83,59,Sandy,Sugarcane,40,33,72,10-26-26
25,82,67,Black,Sugarcane,59,43,11,MOP
34,85,78,Red,Sugarcane,10,31,40,Urea
40,69,75,Clayey,Maize,28,57,24,14-35-14
31,52,33,Red,Maize,52,16,46,DAP
33,37,61,Clayey,Maize,50,11,39,DAP
23,73,43,Black,Maize,40,44,67,10-26-26
32,34,76,Red,Cotton,15,32,31,Urea
37,31,75,Sandy,Sugarcane,60,42,49,20-20
18,64,24,Loamy,Paddy,19,34,40,Urea
40,69,68,Clayey,Maize,26,41,27,28-28
24,63,37,Black,Maize,53,50,34,20-20
24,73,25,Black,Sugarcane,26,41,62,10-26-26
20,73,66,Black,Wheat,25,42,26,28-28
36,38,52,Red,Pulses,33,40,31,20-20
26,41,71,Red,Paddy,32,30,31,28-28
19,37,63,Black,Sugarcane,47,58,47,20-20
19,64,28,Black,Cotton,53,60,58,20-20
26,69,81,Sandy,Maize,31,49,48,20-20
20,85,51,Loamy,Paddy,46,35,40,20-20
35,58,56,Loamy,Paddy,36,62,31,14-35-14
30,40,57,Black,Sugarcane,35,38,58,10-26-26
34,33,34,Red,Wheat,59,16,41,DAP
35,69,51,Clayey,Maize,40,77,34,14-35-14
40,48,32,Loamy,Wheat,35,15,46,DAP
32,40,52,Clayey,Pulses,38,40,43,20-20
36,42,35,Red,Wheat,30,57,40,14-35-14
22,37,79,Sandy,Paddy,32,30,74,10-26-26
38,55,76,Clayey,Cotton,37,16,31,DAP
19,41,22,Sandy,Wheat,36,39,40,28-28
39,30,84,Black,Wheat,21,22,22,Urea
34,46,45,Loamy,Cotton,20,69,36,14-35-14
39,55,31,Clayey,Maize,50,42,15,MOP
19,56,32,Red,Wheat,43,35,16,MOP
19,36,54,Sandy,Sugarcane,18,32,20,Urea
25,55,78,Clayey,Paddy,38,43,68,10-26-26
34,64,42,Sandy,Wheat,44,34,34,28-28
25,85,54,Loamy,Maize,53,11,50,DAP
22,61,83,Sandy,Pulses,59,43,18,MOP
18,46,62,Black,Pulses,56,60,44,20-20
28,73,40,Loamy,Pulses,35,26,30,28-28
26,31,60,Loamy,Maize,20,27,32,Urea
40,43,26,Black,Sugarcane,38,50,59,10-26-26
40,46,42,Red,Pulses,35,39,12,MOP
36,69,74,Clayey,Maize,47,30,31,20-20
24,68,32,Loamy,Maize,49,35,20,MOP
25,66,26,Black,Cotton,21,39,23,Urea
33,45,38,Red,Wheat,18,27,24,Urea
27,73,28,Black,Pulses,39,46,43,20-20
30,46,42,Sandy,Pulses,31,34,26,28-28
33,32,57,Loamy,Paddy,34,30,32,20-20
30,69,26,Clayey,Maize,22,22,29,Urea
18,85,28,Red,Sugarcane,22,33,76,10-26-26
27,73,76,Red,Sugarcane,42,16,43,DAP
33,63,44,Sandy,Pulses,45,42,30,28-28
34,77,39,Sandy,Cotton,21,35,65,10-26-26
27,48,20,Clayey,Paddy,16,26,22,Urea
32,65,77,Red,Maize,59,17,30,DAP
39,72,31,Clayey,Pulses,38,69,30,14-35-14
27,52,36,Black,Wheat,16,40,27,Urea
19,33,63,Red,Paddy,30,37,65,10-26-26
23,72,55,Loamy,Pulses,50,15,36,DAP
22,75,59,Black,Paddy,32,31,75,10-26-26
32,76,31,Sandy,Maize,24,42,66,10-26-26
26,37,26,Clayey,Sugarcane,37,32,10,MOP
36,85,27,Red,Wheat,25,27,26,Urea
18,30,32,Red,Wheat,38,44,73,10-26-26
18,35,38,Black,Pulses,44,50,20,MOP
22,38,21,Black,Cotton,38,80,31,14-35-14
30,65,61,Black,Cotton,25,32,38,Urea
21,68,50,Clayey,Maize,24,40,73,10-26-26
23,36,84,Loamy,Wheat,29,63,32,14-35-14
40,53,45,Sandy,Sugarcane,43,53,60,20-20
20,39,77,Black,Wheat,31,11,37,DAP
20,80,46,Loamy,Pulses,54,12,36,DAP
28,68,28,Sandy,Wheat,40,66,20,14-35-14
27,32,64,Red,Wheat,58,48,15,MOP
24,59,30,Loamy,Maize,29,31,32,28-28
31,82,57,Loamy,Pulses,26,64,36,14-35-14
40,55,70,Clayey,Paddy,49,10,38,DAP
27,64,27,Red,Sugarcane,49,30,20,MOP
30,42,36,Red,Pulses,15,38,31,Urea
38,61,44,Loamy,Cotton,40,40,80,10-26-26
38,78,59,Sandy,Sugarcane,60,17,47,DAP
39,30,78,Sandy,Paddy,13,36,31,Urea
30,64,49,Loamy,Cotton,21,31,60,10-26-26
30,79,27,Black,Sugarcane,17,37,21,Urea
21,61,39,Clayey,Paddy,41,19,39,DAP
35,36,34,Red,Cotton,21,29,22,Urea
21,48,38,Red,Paddy,46,59,31,20-20
36,40,28,Loamy,Wheat,36,49,79,10-26-26
29,33,83,Clayey,Paddy,33,34,62,10-26-26
23,64,42,Black,Paddy,42,26,25,28-28
26,65,34,Clayey,Maize,37,27,38,28-28
34,82,20,Black,Cotton,22,38,63,10-26-26
38,57,29,Loamy,Wheat,46,39,12,MOP
21,70,66,Sandy,Paddy,35,14,37,DAP
24,42,58,Red,Pulses,35,28,38,28-28
39,72,33,Red,Maize,17,33,37,Urea
18,64,52,Clayey,Sugarcane,30,39,76,10-26-26
37,30,39,Loamy,Maize,37,31,41,28-28
19,36,40,Sandy,Paddy,42,41,58,20-20
31,80,63,Red,Maize,14,27,25,Urea
20,76,47,Clayey,Pulses,31,72,37,14-35-14
23,62,36,Loamy,Paddy,23,67,27,14-35-14
28,48,39,Red,Sugarcane,30,49,72,10-26-26
29,76,42,Black,Pulses,48,10,45,DAP
32,55,74,Red,Maize,47,19,50,DAP
24,75,25,Clayey,Cotton,31,26,31,28-28
33,61,20,Clayey,Maize,39,32,28,28-28
21,65,39,Sandy,Paddy,23,77,21,14-35-14
25,55,74,Loamy,Maize,44,17,49,DAP
38,45,28,Black,Sugarcane,34,33,37,20-20
27,45,51,Sandy,Wheat,32,31,49,20-20
19,80,78,Sandy,Cotton,43,41,16,MOP
18,62,33,Clayey,Maize,33,40,47,20-20
33,68,41,Red,Maize,21,28,35,Urea
24,82,54,Red,Cotton,25,33,34,28-28
40,71,46,Black,Pulses,30,47,14,MOP
36,33,25,Sandy,Maize,45,29,27,28-28
33,65,37,Black,Sugarcane,38,44,76,10-26-26
34,48,34,Loamy,Maize,36,20,47,DAP
20,53,27,Clayey,Sugarcane,58,13,39,DAP
36,32,64,Loamy,Sugarcane,39,44,44,28-28
21,42,80,Sandy,Sugarcane,19,39,29,Urea
40,81,57,Loamy,Pulses,46,14,38,DAP
25,82,54,Black,Paddy,55,12,30,DAP
28,31,26,Red,Maize,37,35,16,MOP
23,56,65,Loamy,Pulses,20,69,36,14-35-14
28,72,21,Black,Cotton,58,16,42,DAP
27,46,55,Sandy,Maize,57,14,38,DAP
26,70,42,Loamy,Cotton,46,55,34,20-20
32,31,62,Loamy,Sugarcane,23,64,24,14-35-14
30,75,44,Red,Wheat,43,47,20,MOP
33,77,49,Red,Sugarcane,10,20,28,Urea
24,85,66,Red,Pulses,33,61,37,14-35-14
18,38,53,Sandy,Pulses,51,47,11,MOP
33,39,50,Sandy,Cotton,31,52,36,20-20
28,62,49,Black,Maize,40,62,37,14-35-14
30,76,42,Sandy,Pulses,37,43,68,10-26-26
31,62,47,Sandy,Cotton,40,38,17,MOP
18,77,30,Black,Paddy,23,43,61,10-26-26
39,57,41,Sandy,Wheat,33,37,32,28-28
34,60,22,Clayey,Maize,44,41,19,MOP
25,34,78,Red,Pulses,39,32,45,28-28
31,81,44,Sandy,Wheat,16,20,39,Urea
23,31,30,Black,Pulses,41,38,45,20-20
19,54,74,Black,Cotton,58,16,34,DAP
26,60,44,Loamy,Wheat,31,45,31,28-28
20,51,42,Red,Cotton,36,73,35,14-35-14
30,50,67,Sandy,Maize,35,31,40,20-20
32,43,24,Black,Wheat,55,19,30,DAP
36,56,71,Loamy,Pulses,37,37,16,MOP
24,71,45,Loamy,Sugarcane,35,27,32,28-28
20,56,22,Sandy,Wheat,14,34,32,Urea
22,47,39,Black,Sugarcane,23,32,34,Urea
40,50,34,Black,Paddy,46,48,20,MOP
25,57,71,Clayey,Maize,28,35,30,28-28
26,72,57,Red,Pulses,43,41,16,MOP
34,57,33,Sandy,Maize,22,79,32,14-35-14
30,41,49,Clayey,Sugarcane,42,55,34,20-20
24,58,21,Red,Paddy,42,11,47,DAP
28,50,63,Red,Sugarcane,20,45,70,10-26-26
36,77,65,Clayey,Paddy,55,47,18,MOP
19,36,84,Black,Paddy,24,36,76,10-26-26
32,40,47,Loamy,Maize,33,40,44,28-28
35,30,76,Sandy,Wheat,24,37,75,10-26-26
18,65,21,Loamy,Wheat,22,29,40,Urea
39,39,47,Red,Sugarcane,28,35,77,10-26-26
31,72,43,Sandy,Maize,35,35,30,28-28
24,62,27,Red,Sugarcane,20,28,22,Urea
24,62,37,Clayey,Wheat,24,42,58,10-26-26
20,60,34,Red,Paddy,38,39,59,10-26-26
26,56,26,Loamy,Paddy,32,39,36,28-28
22,84,44,Sandy,Pulses,44,40,25,28-28
18,42,22,Clayey,Cotton,54,35,60,20-20
30,34,49,Sandy,Sugarcane,39,35,60,10-26-26
23,47,53,Black,Sugarcane,20,33,56,10-26-26
23,49,76,Black,Paddy,32,45,19,MOP
31,57,43,Black,Maize,37,63,25,14-35-14
19,39,25,Sandy,Sugarcane,42,36,44,20-20
27,85,56,Clayey,Maize,29,45,25,28-28
19,71,59,Black,Pulses,31,33,38,28-28
32,47,30,Red,Pulses,22,67,24,14-35-14
18,65,37,Sandy,Cotton,15,23,23,Urea
40,74,42,Sandy,Pulses,45,44,39,28-28
32,37,31,Clayey,Cotton,27,79,26,14-35-14
31,43,34,Sandy,Maize,18,37,22,Urea
26,59,62,Clayey,Cotton,53,36,13,MOP
26,78,67,Black,Paddy,45,30,60,20-20
37,61,33,Loamy,Maize,20,33,21,Urea
37,43,26,Red,Cotton,58,34,30,20-20
28,66,73,Sandy,Paddy,34,41,17,MOP
27,79,36,Clayey,Wheat,59,49,13,MOP
24,51,30,Sandy,Wheat,26,79,40,14-35-14
31,65,78,Loamy,Sugarcane,32,56,42,20-20
22,64,20,Red,Sugarcane,17,35,35,Urea
19,62,43,Sandy,Paddy,24,60,20,14-35-14
20,82,85,Clayey,Wheat,47,34,16,MOP
39,53,24,Sandy,Wheat,58,18,46,DAP
29,44,33,Sandy,Cotton,28,37,30,28-28
29,74,79,Sandy,Pulses,39,32,27,28-28
34,56,63,Loamy,Cotton,27,28,38,28-28
20,79,65,Sandy,Cotton,26,28,34,28-28
24,72,27,Clayey,Maize,33,37,43,20-20
39,50,84,Red,Cotton,30,33,44,28-28
27,46,67,Red,Cotton,39,42,12,MOP
18,68,40,Loamy,Paddy,29,73,26,14-35-14
24,65,76,Clayey,Maize,20,28,30,Urea
36,33,84,Sandy,Maize,31,33,37,20-20
29,70,72,Red,Paddy,40,30,44,28-28
29,37,27,Red,Cotton,26,33,45,28-28
40,73,30,Clayey,Pulses,14,27,25,Urea
18,55,79,Loamy,Cotton,33,69,37,14-35-14
27,52,74,Sandy,Pulses,42,35,25,28-28
37,67,77,Loamy,Cotton,33,31,25,28-28
40,42,27,Clayey,Pulses,55,40,14,MOP
34,84,58,Black,Pulses,49,36,11,MOP
21,32,40,Black,Cotton,51,50,18,MOP
37,81,46,Sandy,Pulses,54,19,30,DAP
21,69,66,Loamy,Sugarcane,22,30,65,10-26-26
24,71,84,Red,Cotton,24,31,67,10-26-26
28,77,42,Loamy,Paddy,58,13,42,DAP
22,52,60,Clayey,Paddy,10,34,25,Urea
34,75,50,Black,Sugarcane,24,48,74,10-26-26
26,32,28,Black,Cotton,34,40,36,28-28
24,84,37,Loamy,Sugarcane,33,41,44,20-20
22,55,29,Clayey,Wheat,36,17,45,DAP
25,70,70,Clayey,Cotton,31,44,56,10-26-26
22,53,82,Clayey,Wheat,22,22,37,Urea
30,43,57,Black,Maize,41,15,34,DAP
28,30,78,Red,Sugarcane,58,18,48,DAP
22,73,64,Black,Cotton,22,34,37,Urea
21,80,77,Clayey,Pulses,59,20,30,DAP
29,85,25,Loamy,Pulses,34,53,59,20-20
28,52,44,Red,Sugarcane,52,18,46,DAP
18,37,69,Clayey,Wheat,54,16,50,DAP
37,38,26,Loamy,Cotton,52,15,32,DAP
40,45,51,Clayey,Cotton,32,15,37,DAP
20,46,52,Black,Sugarcane,30,45,26,28-28
26,63,35,Loamy,Wheat,25,41,69,10-26-26
26,69,56,Red,Wheat,47,34,14,MOP
39,30,39,Sandy,Cotton,25,32,30,28-28
29,61,23,Black,Paddy,47,38,32,20-20
40,48,72,Red,Cotton,34,38,33,28-28
21,85,20,Red,Pulses,40,39,10,MOP
33,54,24,Black,Pulses,35,32,61,10-26-26
23,46,48,Black,Sugarcane,15,27,36,Urea
37,79,29,Red,Pulses,34,38,42,28-28
30,40,73,Loamy,Sugarcane,55,11,40,DAP
28,66,72,Black,Wheat,33,42,13,MOP
33,34,65,Black,Cotton,55,32,11,MOP
32,82,59,Sandy,Maize,25,30,28,28-28
21,56,54,Red,Wheat,53,19,44,DAP
24,50,47,Red,Sugarcane,16,27,21,Urea
29,76,52,Sandy,Wheat,38,34,41,28-28
31,53,42,Red,Pulses,20,22,36,Urea
35,58,34,Loamy,Wheat,24,64,33,14-35-14
30,41,47,Red,Cotton,21,49,79,10-26-26
38,31,66,Red,Wheat,31,60,34,14-35-14
20,57,81,Red,Sugarcane,22,46,69,10-26-26
26,80,77,Loamy,Wheat,53,30,15,MOP
32,31,68,Clayey,Sugarcane,27,80,27,14-35-14
37,40,46,Black,Wheat,34,28,27,28-28
28,30,28,Sandy,Cotton,36,41,77,10-26-26
18,48,21,Red,Sugarcane,35,53,42,20-20
27,49,20,Black,Cotton,29,33,74,10-26-26
30,66,39,Black,Sugarcane,27,55,39,14-35-14
39,68,46,Clayey,Pulses,54,18,47,DAP
24,72,27,Red,Maize,39,12,39,DAP
37,70,72,Clayey,Paddy,22,32,73,10-26-26
31,47,70,Sandy,Pulses,30,28,31,28-28
26,75,42,Loamy,Maize,36,36,34,20-20
25,73,69,Clayey,Sugarcane,56,43,13,MOP
25,73,76,Clayey,Maize,30,38,79,10-26-26
34,79,39,Black,Maize,55,16,40,DAP
19,83,72,Sandy,Sugarcane,20,37,78,10-26-26
29,73,60,Clayey,Wheat,15,39,21,Urea
29,49,70,Clayey,Sugarcane,59,42,15,MOP
32,46,80,Black,Paddy,12,23,33,Urea
29,41,83,Black,Pulses,21,23,38,Urea
29,57,25,Clayey,Pulses,40,43,63,10-26-26
